Season,RoundNum,RoundName,Day,Date,Winner,,Loser,,PtsWinner,PtsLoser
2022,1,WildCard,Sat,1/14/2023,Jacksonville Jaguars,,Los Angeles Chargers,boxscore,31,30
2022,1,WildCard,Sat,1/14/2023,San Francisco 49ers,,Seattle Seahawks,boxscore,41,23
2022,1,WildCard,Sun,1/15/2023,Buffalo Bills,,Miami Dolphins,boxscore,34,31
2022,1,WildCard,Sun,1/15/2023,Cincinnati Bengals,,Baltimore Ravens,boxscore,24,17
2022,1,WildCard,Sun,1/15/2023,New York Giants,@,Minnesota Vikings,boxscore,31,24
2022,1,WildCard,Mon,1/16/2023,Dallas Cowboys,@,Tampa Bay Buccaneers,boxscore,31,14
2022,2,Division,Sat,1/21/2023,Kansas City Chiefs,,Jacksonville Jaguars,boxscore,27,20
2022,2,Division,Sat,1/21/2023,Philadelphia Eagles,,New York Giants,boxscore,38,7
2022,2,Division,Sun,1/22/2023,Cincinnati Bengals,@,Buffalo Bills,boxscore,27,10
2022,2,Division,Sun,1/22/2023,San Francisco 49ers,,Dallas Cowboys,boxscore,19,12
2022,3,ConfChamp,Sun,1/29/2023,Kansas City Chiefs,,Cincinnati Bengals,boxscore,23,20
2022,3,ConfChamp,Sun,1/29/2023,Philadelphia Eagles,,San Francisco 49ers,boxscore,31,7
2022,4,SuperBowl,Sun,2/12/2023,TBD,N,TBD,boxscore,0,0
2021,1,WildCard,Sat,1/15/2022,Buffalo Bills,,New England Patriots,boxscore,47,17
2021,1,WildCard,Sat,1/15/2022,Cincinnati Bengals,,Las Vegas Raiders,boxscore,26,19
2021,1,WildCard,Sun,1/16/2022,Kansas City Chiefs,,Pittsburgh Steelers,boxscore,42,21
2021,1,WildCard,Sun,1/16/2022,San Francisco 49ers,@,Dallas Cowboys,boxscore,23,17
2021,1,WildCard,Sun,1/16/2022,Tampa Bay Buccaneers,,Philadelphia Eagles,boxscore,31,15
2021,1,WildCard,Mon,1/17/2022,Los Angeles Rams,,Arizona Cardinals,boxscore,34,11
2021,2,Division,Sat,1/22/2022,Cincinnati Bengals,@,Tennessee Titans,boxscore,19,16
2021,2,Division,Sat,1/22/2022,San Francisco 49ers,@,Green Bay Packers,boxscore,13,10
2021,2,Division,Sun,1/23/2022,Kansas City Chiefs,,Buffalo Bills,boxscore,42,36
2021,2,Division,Sun,1/23/2022,Los Angeles Rams,@,Tampa Bay Buccaneers,boxscore,30,27
2021,3,ConfChamp,Sun,1/30/2022,Cincinnati Bengals,@,Kansas City Chiefs,boxscore,27,24
2021,3,ConfChamp,Sun,1/30/2022,Los Angeles Rams,,San Francisco 49ers,boxscore,20,17
2021,4,SuperBowl,Sun,2/13/2022,Los Angeles Rams,N,Cincinnati Bengals,boxscore,23,20
2020,1,WildCard,Sat,1/9/2021,Buffalo Bills,,Indianapolis Colts,boxscore,27,24
2020,1,WildCard,Sat,1/9/2021,Los Angeles Rams,@,Seattle Seahawks,boxscore,30,20
2020,1,WildCard,Sat,1/9/2021,Tampa Bay Buccaneers,@,Washington Football Team,boxscore,31,23
2020,1,WildCard,Sun,1/10/2021,Cleveland Browns,@,Pittsburgh Steelers,boxscore,48,37
2020,1,WildCard,Sun,1/10/2021,New Orleans Saints,,Chicago Bears,boxscore,21,9
2020,1,WildCard,Sun,1/10/2021,Baltimore Ravens,@,Tennessee Titans,boxscore,20,13
