Season,RoundNum,RoundName,Day,Date,Winner,Unnamed: 6,Loser,Unnamed: 8,PtsWinner,PtsLoser,Team,OffTotPointsRank,DefTotPointsRank,OffTotYardsRank,DefTotYardsRank,OffTotPlaysRunRank,DefTotPlaysRunRank,OffTotYardsPerPlayRank,DefTotYardsPerPlayRank,OffTotTurnoversRank,DefTotTakeawaysRank,OffTotFumblesRank,DefTotFumblesRank,OffTot1stDownsRank,DefTot1stDownsRank,OffPassCompletionsRank,DefPassCompletionsRank,OffPassAttemptsRank,DefPassAttemptsRank,OffPassYardsRank,DefPassYardsRank,OffPassTouchdownsRank,DefPassTouchdownsRank,OffPassInterceptionsRank,DefPassInterceptionsRank,OffPassNetYardsPerAttemptRank,DefPassNetYardsPerAttemptRank,OffPass1stDownsRank,DefPass1stDownsRank,OffRushAttemptsRank,DefRushAttemptsRank,OffRushYardsRank,DefRushYardsRank,OffRushTouchdownsRank,DefRushTouchdownsRank,OffRushYardsPerAttemptRank,DefRushYardsPerAttemptRank,OffRush1stDownsRank,DefRush1stDownsRank,OffNumOfPenaltiesRank,DefNumOfPenaltiesRank,OffPenaltyYardsRank,DefPenaltyYardsRank,Off1stDownsByPenaltyRank,Def1stDownsByPenaltyRank,OffPctOfDrivesEndingInScoreRank,DefPctOfDrivesEndingInScoreRank,OffPctOfDrivesEndingInTurnoverRank,DefPctOfDrivesEndingInTurnoverRank,OffExpectedPointsContributedRank,DefExpectedPointsContributedRank
2022,1,WildCard,Sat,1/14/2023,Jacksonville Jaguars,,Los Angeles Chargers,boxscore,31,30,Jacksonville Jaguars,10,12,9,24,16,29,8,17,15,5,30,2,8,24,9,23,9,27,10,28,14,20,4,14,11,23,9,29,16,20,14,12,12,15,9,8,16,15,13,11,6,3,9,9,11,17,24,4,8,18
2022,1,WildCard,Sat,1/14/2023,San Francisco 49ers,,Seattle Seahawks,boxscore,41,23,San Francisco 49ers,6,1,5,2,21,7,5,4,3,2,10,13,11,2,25,24,26,24,13,21,5,6,4,1,3,11,18,15,9,2,7,2,5,8,9,1,7,1,18,18,12,24,18,12,8,1,3,2,4,1
2022,1,WildCard,Sun,1/15/2023,Buffalo Bills,,Miami Dolphins,boxscore,34,31,Buffalo Bills,4,2,4,1,23,3,2,8,30,5,30,13,5,5,14,16,14,19,8,9,2,9,19,5,6,5,8,10,20,1,9,4,16,6,2,12,10,10,16,9,10,12,18,20,2,3,31,5,5,8
2022,1,WildCard,Sun,1/15/2023,Cincinnati Bengals,,Baltimore Ravens,boxscore,24,17,Cincinnati Bengals,8,5,15,7,17,2,12,17,4,12,4,6,6,3,6,7,7,15,7,16,2,3,12,18,8,18,6,6,29,5,29,5,19,11,29,8,24,8,4,25,2,24,2,2,6,18,7,9,6,9
2022,1,WildCard,Sun,1/15/2023,New York Giants,@,Minnesota Vikings,boxscore,31,24,New York Giants,15,17,18,25,13,18,22,24,2,25,21,2,8,30,22,13,25,18,26,15,25,9,1,31,27,13,24,22,8,19,4,27,4,20,6,30,4,28,26,30,19,23,5,30,15,25,1,26,11,29
2022,1,WildCard,Mon,1/16/2023,Dallas Cowboys,@,Tampa Bay Buccaneers,boxscore,31,14,Dallas Cowboys,3,6,10,13,8,27,15,8,21,1,2,1,11,15,18,11,19,11,14,8,9,15,30,8,9,8,12,7,6,27,8,22,2,3,20,16,8,18,24,22,23,27,24,27,6,8,13,1,7,4
2022,2,Division,Sat,1/21/2023,Kansas City Chiefs,,Jacksonville Jaguars,boxscore,27,20,Kansas City Chiefs,1,16,1,12,11,24,1,8,21,22,25,19,1,19,4,28,5,30,1,19,1,32,12,22,1,5,1,27,24,6,20,8,8,6,9,16,19,8,7,22,20,11,7,17,1,14,8,21,1,14
2022,2,Division,Sat,1/21/2023,Philadelphia Eagles,,New York Giants,boxscore,38,7,Philadelphia Eagles,2,8,2,3,5,12,5,1,6,5,21,13,2,14,20,14,23,13,9,1,14,12,4,5,3,1,11,13,3,12,5,16,1,18,13,24,2,16,13,16,8,17,12,7,4,6,9,3,2,3
2022,2,Division,Sun,1/22/2023,Cincinnati Bengals,@,Buffalo Bills,boxscore,27,10,Cincinnati Bengals,8,5,15,7,17,2,12,17,4,12,4,6,6,3,6,7,7,15,7,16,2,3,12,18,8,18,6,6,29,5,29,5,19,11,29,8,24,8,4,25,2,24,2,2,6,18,7,9,6,9
2022,2,Division,Sun,1/22/2023,San Francisco 49ers,,Dallas Cowboys,boxscore,19,12,San Francisco 49ers,6,1,5,2,21,7,5,4,3,2,10,13,11,2,25,24,26,24,13,21,5,6,4,1,3,11,18,15,9,2,7,2,5,8,9,1,7,1,18,18,12,24,18,12,8,1,3,2,4,1
