Season,MaxRound,Team,GamesPlayed,OffTotPoints,OffTotYards,OffTotPlaysRun,OffTotYardsPerPlay,OffTotTurnovers,OffTotFumbles,OffTot1stDowns,OffPassCompletions,OffPassAttempts,OffPassYards,OffPassTouchdowns,OffPassInterceptions,OffPassNetYardsPerAttempt,OffPass1stDowns,OffRushAttempts,OffRushYards,OffRushTouchdowns,OffRushYardsPerAttempt,OffRush1stDowns,OffNumOfPenalties,OffPenaltyYards,Off1stDownsByPenalty,OffPctOfDrivesEndingInScore,OffPctOfDrivesEndingInTurnover,OffExpectedPointsContributed,DefTotPoints,DefTotYards,DefTotPlaysRun,DefTotYardsPerPlay,DefTotTakeaways,DefTotFumbles,DefTot1stDowns,DefPassCompletions,DefPassAttempts,DefPassYards,DefPassTouchdowns,DefPassInterceptions,DefPassNetYardsPerAttempt,DefPass1stDowns,DefRushAttempts,DefRushYards,DefRushTouchdowns,DefRushYardsPerAttempt,DefRush1stDowns,DefNumOfPenalties,DefPenaltyYards,Def1stDownsByPenalty,DefPctOfDrivesEndingInScore,DefPctOfDrivesEndingInTurnover,DefExpectedPointsContributed,OffTotPointsRank,OffTotYardsRank,OffTotPlaysRunRank,OffTotYardsPerPlayRank,OffTotTurnoversRank,OffTotFumblesRank,OffTot1stDownsRank,OffPassCompletionsRank,OffPassAttemptsRank,OffPassYardsRank,OffPassTouchdownsRank,OffPassInterceptionsRank,OffPassNetYardsPerAttemptRank,OffPass1stDownsRank,OffRushAttemptsRank,OffRushYardsRank,OffRushTouchdownsRank,OffRushYardsPerAttemptRank,OffRush1stDownsRank,OffNumOfPenaltiesRank,OffPenaltyYardsRank,Off1stDownsByPenaltyRank,OffPctOfDrivesEndingInScoreRank,OffPctOfDrivesEndingInTurnoverRank,OffExpectedPointsContributedRank,DefTotPointsRank,DefTotYardsRank,DefTotPlaysRunRank,DefTotYardsPerPlayRank,DefTotTakeawaysRank,DefTotFumblesRank,DefTot1stDownsRank,DefPassCompletionsRank,DefPassAttemptsRank,DefPassYardsRank,DefPassTouchdownsRank,DefPassInterceptionsRank,DefPassNetYardsPerAttemptRank,DefPass1stDownsRank,DefRushAttemptsRank,DefRushYardsRank,DefRushTouchdownsRank,DefRushYardsPerAttemptRank,DefRush1stDownsRank,DefNumOfPenaltiesRank,DefPenaltyYardsRank,Def1stDownsByPenaltyRank,DefPctOfDrivesEndingInScoreRank,DefPctOfDrivesEndingInTurnoverRank,DefExpectedPointsContributedRank,Selection,SelectionCount
2003,3,Carolina Panthers,16,325,5141,1008,5.1,31,15,284,270,460,3050,19,16,6.3,146,522,2091,9,4.0,114,116,966,24,30.8,14.9,-149.93,304,4725,996,4.7,26,10,274,299,522,3003,19,16,5.3,161,434,1722,10,4.0,83,111,1011,30,26.3,12.6,226.48,15,16,17,16,22,26,19,28,28,18,17,13,8,25,3,7,24,17,11,24,23,18,15,21,16,10,8,14,6,18,24,8,16,20,9,14,12,6,11,9,11,7,13,6,23,28,27,6,20,4,304,600.0
2003,1,Green Bay Packers,16,442,5798,999,5.8,32,11,315,310,473,3240,32,21,6.6,166,507,2558,18,5.0,127,88,699,22,38.0,15.6,-49.49,307,5101,1036,4.9,32,11,288,326,589,3400,18,21,5.5,172,413,1701,10,4.1,91,97,767,25,29.6,15.3,217.43,4,4,20,3,25,15,7,15,27,16,1,27,5,15,5,3,5,2,2,3,5,24,5,22,5,11,17,23,10,10,20,14,25,31,23,10,8,10,20,6,10,7,16,10,12,9,16,14,10,6,106,600.0
2003,2,Indianapolis Colts,16,447,5874,1041,5.6,20,10,348,381,569,4179,29,10,7.1,212,453,1695,16,3.7,104,92,662,32,46.3,10.2,-13.96,336,4789,913,5.2,30,15,279,277,445,2809,18,15,5.9,138,437,1980,19,4.5,117,123,1005,24,30.1,14.8,125.64,2,3,7,4,2,11,1,1,5,1,4,3,2,1,13,19,10,26,13,7,2,3,1,3,3,20,11,2,20,12,4,11,5,1,5,10,16,18,2,10,20,28,23,23,28,26,12,16,12,18,218,900.0
2003,4,New England Patriots,16,348,5039,1042,4.8,24,11,294,320,537,3432,23,13,6.0,177,473,1607,9,3.4,91,111,998,26,27.9,11.3,-136.51,238,4666,1060,4.4,41,12,293,328,618,3232,11,29,4.9,177,401,1434,10,3.6,91,107,845,25,23.0,19.5,280.69,12,17,6,21,8,15,16,8,6,9,11,6,13,11,12,27,24,30,23,22,25,14,18,6,15,1,7,29,4,2,15,17,27,32,15,1,1,1,23,4,4,7,6,10,19,16,16,1,2,2,402,1500.0
2003,2,Philadelphia Eagles,16,374,5035,944,5.3,22,11,302,279,484,3020,17,11,5.7,156,417,2015,23,4.8,105,96,817,41,34.2,10.2,-80.82,287,5307,1058,5.0,26,13,306,337,559,3236,17,13,5.4,171,461,2071,13,4.5,116,129,1105,19,27.8,13.4,168.96,11,18,29,10,5,15,13,25,25,20,22,4,20,18,25,9,2,4,12,9,12,1,10,3,8,7,20,28,15,18,9,21,31,28,16,7,26,9,18,21,22,18,23,22,29,32,4,9,17,12,212,300.0
2003,1,Tennessee Titans,16,435,5501,1013,5.4,21,12,310,315,502,3878,30,9,7.4,211,486,1623,11,3.3,84,110,887,15,39.4,9.6,-103.79,324,4901,926,5.3,34,13,275,332,546,3606,20,21,6.2,167,342,1295,10,3.8,79,96,793,29,29.8,16.0,202.69,5,8,15,7,4,19,10,11,22,5,3,2,1,2,9,26,21,31,28,21,17,31,3,2,9,13,12,3,23,8,9,9,29,27,30,17,8,24,16,1,1,7,7,4,10,12,25,15,9,9,109,1200.0
2004,2,Atlanta Falcons,16,340,5084,969,5.2,30,14,284,217,395,2412,15,16,5.4,120,524,2672,20,5.1,133,109,905,31,28.8,15.8,-108.92,337,5207,999,5.2,32,13,310,328,517,3526,19,19,6.2,183,434,1681,20,3.9,107,129,930,20,29.7,16.8,133.45,16,20,24,16,22,25,19,32,31,30,28,15,24,32,5,1,3,1,4,13,15,9,19,23,16,14,14,16,15,11,10,20,24,19,22,11,10,18,23,12,8,29,10,21,31,18,3,16,10,14,214,900.0
2004,1,Indianapolis Colts,16,522,6475,968,6.7,17,7,379,353,527,4623,51,10,8.5,238,427,1852,10,4.3,94,106,801,47,46.3,9.7,113.82,351,5929,1042,5.7,36,17,331,364,557,3892,26,19,6.5,209,440,2037,12,4.6,103,116,877,19,35.4,18.5,50.75,1,2,25,1,2,2,2,6,15,1,1,2,1,1,20,15,22,12,17,10,3,1,1,3,1,19,29,27,27,4,2,29,31,30,28,22,10,23,30,15,24,14,28,20,19,12,2,24,4,23,123,600.0
2004,1,Minnesota Vikings,16,405,6339,985,6.4,21,9,351,380,552,4516,39,12,7.6,225,387,1823,8,4.7,98,117,884,28,38.9,12.0,65.96,395,5902,1018,5.8,22,11,350,338,544,3896,30,11,6.7,220,435,2006,15,4.6,110,110,974,20,41.6,13.3,0.82,6,4,22,2,5,6,4,2,8,2,2,7,2,4,28,18,29,2,14,21,13,15,5,9,3,26,28,22,29,25,20,31,28,27,29,27,28,28,32,13,21,21,28,24,15,24,3,32,20,32,132,300.0
2004,4,New England Patriots,16,437,5722,1035,5.5,27,13,344,293,485,3588,29,14,7.0,193,524,2134,15,4.1,120,101,822,31,42.1,14.6,22.2,260,4972,988,5.0,36,16,290,315,538,3400,18,20,5.8,177,405,1572,9,3.9,83,118,1014,30,24.0,20.0,244.33,4,7,6,10,15,23,6,20,22,11,6,11,7,7,5,7,10,17,7,6,5,9,2,19,4,2,9,13,10,4,3,10,21,26,17,8,7,9,17,5,6,9,10,6,22,29,21,2,1,3,403,600.0
